Time,Insulin
0,0.309037
2,60.120412
4,37.6144131
8,6.255224239
15,1.72871539
30,0.593325064
60,0.1160958
0,0.214458
2,59.31859305
4,34.73943544
8,5.755254188
15,1.640875736
30,0.593325064
60,0.129997327
