G,L,F,I,Scenario,Replicate,Insulin,vG0,vF0,vG,vL,vF
5.743449721647092,0.7851977602436322,0.4887665448802195,0.23629001993878054,WT,324,1.0,0.15,0.13124999999999148,0.15000000000000246,0.30000000000001703,0.699999999999983
5.936764426025196,0.9658250232540684,0.6012026313399237,0.2681971315930188,GRPKO,324,1.0,0.15,0.13124999999473577,0.14999999999900232,0.29999999999737564,0.7000000000026243
8.20652623722298,1.1740525642550554,0.7308192200593375,0.08722545798744928,I0KO,324,0.1,0.15,0.13125000027318293,0.15000000013504072,0.30000000022146334,0.6999999997785367
8.911699822648751,1.5512210506882422,0.9655974527263351,0.1145629574466686,I0KO_GRPKO,324,0.1,0.15,0.13124999988944858,0.14999999970285466,0.299999998923318,0.7000000010766819
4.666159970644522,1.112679586171402,0.692616031895769,0.1053657926559452,LactateKO,324,1.0,0.15,0.13125000011725937,0.1499999999999426,0.2999999999762146,0.7000000000237854
5.403373090162497,1.46455214221427,0.9116481564428615,0.01867522430978172,I0KO_LactateKO,324,0.1,0.15,0.13125000003160409,0.14999999998820374,0.2999999999348369,0.7000000000651632
5.403373095564161,2.2571023820247955,1.4049914475580008,0.01867522438205315,TripleKO,324,0.1,0.15,0.13125000028008393,0.14999999999932093,0.29999999903285085,0.7000000009671491
4.666159972502653,1.6023656694330053,0.9974337323214878,0.10536579282072725,GRPKO_LactateKO,324,1.0,0.15,0.1312500000666022,0.15000000000000005,0.29999999980512754,0.7000000001948725
5.71781988796306,0.7275747694703592,0.4986916157637918,0.2322683113293859,WT,325,1.0,0.15,0.13125000000015047,0.15000000000006133,0.3000000000002028,0.6999999999997971
5.85885049314543,0.8418387819005835,0.5770100338456027,0.25499988563264625,GRPKO,325,1.0,0.15,0.13124999999979253,0.15000000000016486,0.30000000000086596,0.699999999999134
8.338845939636872,1.0739540799485234,0.736105645233877,0.0920731994179064,I0KO,325,0.1,0.15,0.13125000010911267,0.15000000005447087,0.3000000000977496,0.6999999999022505
8.848731997141346,1.3095649926464308,0.8975972077285691,0.11197809210388412,I0KO_GRPKO,325,0.1,0.15,0.1312499998912395,0.15000000003667582,0.30000000020606304,0.6999999997939369
4.54532275764235,1.0642481984579342,0.729453076067518,0.0950401799553995,LactateKO,325,1.0,0.15,0.13125000000067372,0.15000000000000155,0.30000000000155724,0.6999999999984428
5.297937166160254,1.3747248391859124,0.9422588303702647,0.017301948619156442,I0KO_LactateKO,325,0.1,0.15,0.1312499999997995,0.14999999999990124,0.2999999999990345,0.7000000000009655
5.2979371693290584,1.8869475513895633,1.2933446357531198,0.017301948659315523,TripleKO,325,0.1,0.15,0.13125000013188284,0.15000000000025734,0.29999999956730383,0.7000000004326962
4.545322758824262,1.3900867569187574,0.9527881455886265,0.09504018005263125,GRPKO_LactateKO,325,1.0,0.15,0.1312500005047041,0.15000000000002348,0.29999999863062504,0.700000001369375
5.3852591005039585,0.684575406668517,0.6179798243767002,0.18433980867644645,WT,326,1.0,0.15,0.13125000000000142,0.14999999999999955,0.2999999999999967,0.7000000000000033
5.545488203872601,0.8089182518226286,0.7302265818021368,0.20646040989913045,GRPKO,326,1.0,0.15,0.13124999999928305,0.1499999999998614,0.29999999999961713,0.7000000000003829
7.6954105160104636,0.9588092683217859,0.8655361808085018,0.06982535490346597,I0KO,326,0.1,0.15,0.13125000005817583,0.15000000004160802,0.300000000100989,0.6999999998990111
8.238351293753563,1.200256945083365,1.0834957982216444,0.08837890656529404,I0KO_GRPKO,326,0.1,0.15,0.13124999990625405,0.14999999993960722,0.299999999840974,0.700000000159026
4.209487166995377,0.9575397273993747,0.8643901427559433,0.07021851154008711,LactateKO,326,1.0,0.15,0.1312499997005671,0.15000000000323427,0.29999999967157565,0.7000000003284244
4.835335933860595,1.1863003829874366,1.0708969306610123,0.012116044042431169,I0KO_LactateKO,326,0.1,0.15,0.13125000006250312,0.150000000026454,0.3000000001516035,0.6999999998483966
4.835335935755151,1.6847584247942236,1.5208649178555047,0.012116044061023267,TripleKO,326,0.1,0.15,0.13125000019499275,0.14999999999241612,0.29999999916146397,0.7000000008385361
4.209487168105735,1.2908074558772797,1.1652375429993125,0.07021851161327726,GRPKO_LactateKO,326,1.0,0.15,0.1312499999983628,0.15000000000000002,0.30000000000605126,0.6999999999939486
5.4050690592664274,0.8391078360922839,0.6227747558868039,0.18697925257089762,WT,327,1.0,0.15,0.1312500000000016,0.1499999999999977,0.2999999999999843,0.7000000000000156
5.558081733442147,0.9914943538502579,0.7358740171155433,0.2082746406900378,GRPKO,327,1.0,0.15,0.13124999998866482,0.15000000000129055,0.30000000001490723,0.6999999999850928
7.721913940590346,1.1789589295772736,0.8750077498763253,0.07067438047070977,I0KO,327,0.1,0.15,0.1312500000008269,0.15000000000058783,0.3000000000015152,0.6999999999984847
8.245164789475291,1.4758408615823446,1.0953496031519987,0.08862688702087566,I0KO_GRPKO,327,0.1,0.15,0.13124999965220893,0.14999999977092032,0.29999999932238014,0.7000000006776198
4.299280193495203,1.1569570729667966,0.8586782626048194,0.07632286599230335,LactateKO,327,1.0,0.15,0.1312499999781274,0.14999999999916322,0.2999999999576057,0.7000000000423944
4.989976837536764,1.4536214340313771,1.078858633891207,0.013703513756450104,I0KO_LactateKO,327,0.1,0.15,0.1312499999997181,0.1499999999999517,0.2999999999992394,0.7000000000007607
4.9899768410576195,2.0570421735883606,1.5267095417998873,0.013703513794211817,TripleKO,327,0.1,0.15,0.1312500000920016,0.14999999999991342,0.2999999995974184,0.7000000004025816
4.299280194868633,1.5495505352040677,1.1500559456598416,0.07632286608854642,GRPKO_LactateKO,327,1.0,0.15,0.1312499999811093,0.15000000000000024,0.3000000000757752,0.6999999999242248
5.415105125168671,0.7039905451656044,0.4494269132554057,0.1883266057986006,WT,328,1.0,0.15,0.13124999999986733,0.14999999999999966,0.3000000000000618,0.6999999999999382
5.589838099333031,0.8457097462099319,0.5399003201346434,0.2128992169782011,GRPKO,328,1.0,0.15,0.13125000002004059,0.15000000000675612,0.30000000002352695,0.6999999999764731
7.882068519280441,1.0776560465722012,0.6879746239726694,0.07593031982842446,I0KO,328,0.1,0.15,0.1312500001232113,0.1500000000220679,0.299999999987638,0.700000000012362
