kG,kL,kF,kR,vG0,vF0,vE,KI_G_L,KI_F0_L,KI_F0_I,KA_G_I,a,Imax,deltaI,Scenario,Replicate
0.07701001182783103,0.365642581148288,0.7848600895597097,0.2677309073667493,2.4999999999999996,9.543920499086992,1.0,1.375906802476636,4.42426058692701,0.134710254948669,2.58053338073403,10.0,1.0,0.0,WT,0
0.07701001182783103,0.365642581148288,0.7848600895597097,0.2677309073667493,2.4999999999999996,9.543920499086992,1.0,1.375906802476636,750000000.0,0.134710254948669,2.58053338073403,10.0,1.0,0.0,GRPKO,0
0.07701001182783103,0.365642581148288,0.7848600895597097,0.2677309073667493,2.4999999999999996,9.543920499086992,1.0,1.375906802476636,4.42426058692701,0.134710254948669,2.58053338073403,10.0,0.1,0.0,I0KO,0
0.07701001182783103,0.365642581148288,0.7848600895597097,0.2677309073667493,2.4999999999999996,9.543920499086992,1.0,1.375906802476636,750000000.0,0.134710254948669,2.58053338073403,10.0,0.1,0.0,I0KO_GRPKO,0
0.07701001182783103,0.365642581148288,0.7848600895597097,0.2677309073667493,2.4999999999999996,9.543920499086992,1.0,750000000.0,4.42426058692701,0.134710254948669,2.58053338073403,10.0,1.0,0.0,LactateKO,0
0.07701001182783103,0.365642581148288,0.7848600895597097,0.2677309073667493,2.4999999999999996,9.543920499086992,1.0,750000000.0,4.42426058692701,0.134710254948669,2.58053338073403,10.0,0.1,0.0,I0KO_LactateKO,0
0.07701001182783103,0.365642581148288,0.7848600895597097,0.2677309073667493,2.4999999999999996,9.543920499086992,1.0,750000000.0,750000000.0,0.134710254948669,2.58053338073403,10.0,0.1,0.0,TripleKO,0
0.07701001182783103,0.365642581148288,0.7848600895597097,0.2677309073667493,2.4999999999999996,9.543920499086992,1.0,750000000.0,750000000.0,0.134710254948669,2.58053338073403,10.0,1.0,0.0,GRPKO_LactateKO,0
0.08105007144417674,0.40666658609622586,0.6996417112053184,0.27342554442278966,2.4999999999999996,11.798983660559262,1.0,1.2758652429597022,3.2522537377595633,0.18755041978605536,4.52737104182879,10.0,1.0,0.0,WT,1
0.08105007144417674,0.40666658609622586,0.6996417112053184,0.27342554442278966,2.4999999999999996,11.798983660559262,1.0,1.2758652429597022,750000000.0,0.18755041978605536,4.52737104182879,10.0,1.0,0.0,GRPKO,1
0.08105007144417674,0.40666658609622586,0.6996417112053184,0.27342554442278966,2.4999999999999996,11.798983660559262,1.0,1.2758652429597022,3.2522537377595633,0.18755041978605536,4.52737104182879,10.0,0.1,0.0,I0KO,1
0.08105007144417674,0.40666658609622586,0.6996417112053184,0.27342554442278966,2.4999999999999996,11.798983660559262,1.0,1.2758652429597022,750000000.0,0.18755041978605536,4.52737104182879,10.0,0.1,0.0,I0KO_GRPKO,1
0.08105007144417674,0.40666658609622586,0.6996417112053184,0.27342554442278966,2.4999999999999996,11.798983660559262,1.0,750000000.0,3.2522537377595633,0.18755041978605536,4.52737104182879,10.0,1.0,0.0,LactateKO,1
0.08105007144417674,0.40666658609622586,0.6996417112053184,0.27342554442278966,2.4999999999999996,11.798983660559262,1.0,750000000.0,3.2522537377595633,0.18755041978605536,4.52737104182879,10.0,0.1,0.0,I0KO_LactateKO,1
0.08105007144417674,0.40666658609622586,0.6996417112053184,0.27342554442278966,2.4999999999999996,11.798983660559262,1.0,750000000.0,750000000.0,0.18755041978605536,4.52737104182879,10.0,0.1,0.0,TripleKO,1
